centrality xT U_xT err
0 0.21215043 0.74534294 0.09312374
0 0.25072324 0.80078167 0.09634769
0 0.28929605 0.82991314 0.0995776
0 0.32786885 0.84265537 0.10099675
0 0.36644166 0.85213311 0.10227265
0 0.43394407 0.80406174 0.07760604
0 0.53037608 0.75549448 0.07298514
0 0.6268081 0.69728715 0.06818005
0 0.72324012 0.63444324 0.06061182
0 0.81967213 0.57273346 0.05435214
0 0.91610415 0.50997851 0.04815666
0 1.01253616 0.45309988 0.04004859
0 1.10896818 0.4039322 0.03547357
0 1.20540019 0.36080763 0.03190357
0 1.30183221 0.32092421 0.02843718
0 1.39826422 0.28378604 0.02514717
0 1.49469624 0.25332643 0.02252855
0 1.59112825 0.224245 0.01995639
0 1.68756027 0.1987444 0.01774306
0 1.78399229 0.17741561 0.01586462
0 1.8804243 0.15790865 0.01407772
0 2.02507232 0.13103821 0.0117539
0 2.21793635 0.10280516 0.00921341
0 2.41080039 0.08197394 0.0074923
0 2.60366442 0.06451507 0.00590012
0 2.79652845 0.04986006 0.00457487
0 2.98939248 0.03902182 0.00359108
0 3.18225651 0.03060138 0.00282797
0 3.37512054 0.02405792 0.0022324
0 3.56798457 0.01885439 0.00175838
0 3.7608486 0.01495612 0.00140547
0 3.95371263 0.01180258 0.00111861
0 4.14657666 0.00932796 0.0008931
0 4.33944069 0.00735964 0.00071027
0 4.53230473 0.00604372 0.00059013
0 4.72516876 0.00477594 0.00047657
0 4.91803279 0.0038169 0.00038611
0 5.11089682 0.00311976 0.00032341
0 5.30376085 0.00249324 0.00025978
0 5.49662488 0.00205027 0.00021713
0 5.68948891 0.00169776 0.00018513
1 0.21194605 0.73875865 0.08835498
1 0.2504817 0.78584063 0.09020764
1 0.28901734 0.81566102 0.09347349
1 0.32755299 0.8358548 0.09571255
1 0.36608863 0.83843663 0.09603799
1 0.43352601 0.81169934 0.07507403
1 0.52986513 0.76106667 0.07013326
1 0.62620424 0.70210639 0.0659064
1 0.72254335 0.64013442 0.05862062
1 0.81888247 0.57624226 0.05244916
1 0.91522158 0.51474192 0.04669175
1 1.01156069 0.44965047 0.0381796
1 1.10789981 0.40135573 0.03390987
1 1.20423892 0.3591113 0.03064645
1 1.30057803 0.31887669 0.02719947
1 1.39691715 0.28399775 0.02416511
1 1.49325626 0.25170199 0.02138149
1 1.58959538 0.22356195 0.01895036
1 1.68593449 0.19947521 0.01693973
1 1.7822736 0.17724467 0.01503212
1 1.87861272 0.15687033 0.01331449
1 2.02312139 0.13135793 0.01115384
1 2.21579961 0.10264789 0.00876359
1 2.40847784 0.08162539 0.00721888
1 2.60115607 0.06435019 0.00569532
1 2.7938343 0.04986715 0.00442287
1 2.98651252 0.03935415 0.00350033
1 3.17919075 0.03069613 0.00274297
1 3.37186898 0.02413794 0.00216589
1 3.56454721 0.01898587 0.00171496
1 3.75722543 0.0151615 0.00138123
1 3.94990366 0.01192802 0.00109681
1 4.14258189 0.0094951 0.00088155
1 4.33526012 0.00757368 0.00070919
1 4.52793834 0.00614456 0.0005825
1 4.72061657 0.00489597 0.0004749
1 4.9132948 0.00394745 0.00038836
1 5.10597303 0.00317025 0.00032034
1 5.29865125 0.0026488 0.00026914
1 5.49132948 0.00215293 0.00022261
1 5.68400771 0.00177292 0.00018943
2 0.21194605 0.73811481 0.08541363
2 0.2504817 0.79318145 0.087906
2 0.28901734 0.81958886 0.09061807
2 0.32755299 0.83808088 0.09259661
2 0.36608863 0.84080674 0.09290967
2 0.43352601 0.81759565 0.07411294
2 0.52986513 0.76324011 0.06901416
2 0.62620424 0.70055257 0.06444133
2 0.72254335 0.63836782 0.05734599
2 0.81888247 0.57497098 0.05131254
2 0.91522158 0.51177167 0.0456069
2 1.01156069 0.44780021 0.03740283
2 1.10789981 0.39948268 0.03316263
2 1.20423892 0.35720765 0.02996602
2 1.30057803 0.31701023 0.02656744
2 1.39691715 0.28169978 0.02358835
2 1.49325626 0.25030393 0.02094544
2 1.58959538 0.22177221 0.01853378
2 1.68593449 0.19734634 0.0165066
2 1.7822736 0.17639961 0.0147102
2 1.87861272 0.15680145 0.01308065
2 2.02312139 0.1307011 0.01091244
2 2.21579961 0.10275657 0.00856903
2 2.40847784 0.08120559 0.00708038
2 2.60115607 0.06401294 0.00558726
2 2.7938343 0.05031488 0.00440157
2 2.98651252 0.03948417 0.00346417
2 3.17919075 0.03083774 0.00271784
2 3.37186898 0.02445461 0.00216344
2 3.56454721 0.01916145 0.00170648
2 3.75722543 0.015351 0.0013807
2 3.94990366 0.01205287 0.00109154
2 4.14258189 0.00964102 0.00088308
2 4.33526012 0.00774041 0.00071514
2 4.52793834 0.00632474 0.0005918
2 4.72061657 0.00502152 0.00048075
2 4.9132948 0.00413027 0.00040114
2 5.10597303 0.00343189 0.00034252
2 5.29865125 0.00273968 0.00027483
2 5.49132948 0.0022344 0.00022793
2 5.68400771 0.0018424 0.00019405
3 0.21400778 0.75425704 0.08401098
3 0.25291829 0.79605689 0.08457597
3 0.29182879 0.83057047 0.0881019
3 0.3307393 0.85067486 0.09015221
3 0.36964981 0.84835148 0.08987091
3 0.43774319 0.81484416 0.0716958
3 0.53501946 0.75990744 0.06671576
3 0.63229572 0.69397285 0.06193421
3 0.72957198 0.62845972 0.05480713
3 0.82684825 0.56537009 0.04900895
3 0.92412451 0.50072757 0.0433007
3 1.02140078 0.43851118 0.03552621
3 1.11867704 0.38984786 0.03138645
3 1.21595331 0.34742107 0.02844441
3 1.31322957 0.30818037 0.02517736
3 1.41050584 0.27413436 0.02233948
3 1.5077821 0.24290037 0.01980675
3 1.60505837 0.21545441 0.01754992
3 1.70233463 0.19149483 0.01558281
3 1.79961089 0.17119946 0.01391122
3 1.89688716 0.15189324 0.01234557
3 2.04280156 0.12667978 0.01029889
3 2.23735409 0.099375 0.00807368
3 2.43190661 0.07864472 0.00669327
3 2.62645914 0.06182811 0.00526957
3 2.82101167 0.04875367 0.00416573
3 3.0155642 0.03867461 0.00331478
3 3.21011673 0.03032965 0.00260898
3 3.40466926 0.02397143 0.00207442
3 3.59922179 0.01888896 0.00164479
3 3.79377432 0.01500132 0.00131842
3 3.98832685 0.01208663 0.00107101
3 4.18287938 0.00964961 0.00086531
3 4.37743191 0.00783787 0.0007098
3 4.57198444 0.00625109 0.00057274
3 4.76653696 0.00516437 0.00048531
3 4.96108949 0.00411231 0.0003925
3 5.15564202 0.00341216 0.00033476
3 5.35019455 0.00281926 0.00027805
3 5.54474708 0.00230707 0.00023149
3 5.73929961 0.00190917 0.00019819
4 0.21760633 0.76566605 0.08375625
4 0.25717112 0.80747084 0.08417446
4 0.29673591 0.84021449 0.08737056
4 0.33630069 0.85462201 0.08875624
4 0.37586548 0.85072509 0.0883514
4 0.44510386 0.81282911 0.07160174
4 0.54401583 0.7534248 0.06631973
4 0.64292779 0.68473362 0.06107606
4 0.74183976 0.61750775 0.05400103
4 0.84075173 0.55263627 0.04804398
4 0.9396637 0.48680046 0.04225315
4 1.03857567 0.42489523 0.03459593
4 1.13748764 0.37573223 0.03048949
4 1.2363996 0.33573333 0.0276856
4 1.33531157 0.29688489 0.02446096
4 1.43422354 0.2619116 0.02155677
4 1.53313551 0.23221737 0.01910782
4 1.63204748 0.20590126 0.01691095
4 1.73095945 0.18206429 0.01500999
4 1.82987141 0.1622094 0.01332767
4 1.92878338 0.14422652 0.011839
4 2.07715134 0.1196676 0.00981035
4 2.27497527 0.09377366 0.00769567
4 2.47279921 0.07399796 0.00635838
4 2.67062315 0.05840394 0.0050232
4 2.86844708 0.04592784 0.00395878
4 3.06627102 0.03649919 0.00315523
4 3.26409496 0.02850337 0.00247536
4 3.46191889 0.02273621 0.00198522
4 3.65974283 0.01790751 0.00157371
4 3.85756677 0.01436396 0.00127409
4 4.0553907 0.01153814 0.00103204
4 4.25321464 0.00940525 0.00085099
4 4.45103858 0.00743504 0.00067954
4 4.64886251 0.00606237 0.00056032
4 4.84668645 0.00506093 0.00048002
4 5.04451039 0.00404272 0.00038894
4 5.24233432 0.00334741 0.00033123
4 5.44015826 0.00271246 0.00026997
4 5.6379822 0.00231944 0.00023486
4 5.83580613 0.00191645 0.00020072
5 0.22244692 0.79009262 0.08538207
5 0.26289181 0.82532665 0.08480267
5 0.3033367 0.85569257 0.08767198
5 0.3437816 0.85944114 0.08807617
5 0.38422649 0.85873671 0.08806192
5 0.45500506 0.81512501 0.07221311
5 0.55611729 0.75169495 0.06645486
5 0.65722952 0.6801954 0.06108129
5 0.75834176 0.60676811 0.05351664
5 0.85945399 0.53974358 0.04731268
5 0.96056623 0.47537638 0.04159434
5 1.06167846 0.41116641 0.03397721
5 1.1627907 0.36251678 0.02984827
5 1.26390293 0.32108126 0.02688202
5 1.36501517 0.28418994 0.02374455
5 1.4661274 0.24997481 0.02086428
5 1.56723964 0.22032275 0.01844115
5 1.66835187 0.19452053 0.01623502
5 1.76946411 0.17284927 0.01442055
5 1.87057634 0.15270637 0.01273312
5 1.97168857 0.13426071 0.01119888
5 2.12335693 0.1113306 0.00927287
5 2.3255814 0.0870995 0.007254
5 2.52780586 0.06957809 0.00606086
5 2.73003033 0.05383221 0.00469602
5 2.9322548 0.04258965 0.00372151
5 3.13447927 0.03382832 0.00296795
5 3.33670374 0.02660025 0.00234416
5 3.53892821 0.02100299 0.00185988
