centrality xT U_xT err
0 0.11854608 0.589504204 0.0749652103
0 0.16414072 0.688101243 0.087025026
0 0.23709216 0.751918627 0.0558684655
0 0.32828145 0.810376883 0.0625331642
0 0.41035181 0.803705314 0.0662439504
0 0.5015411 0.757551181 0.0617628175
0 0.59273039 0.689140258 0.0607767887
0 0.68391968 0.645173525 0.0531564275
0 0.77510897 0.590379164 0.0481766837
0 0.86629826 0.529306966 0.0401930746
0 0.95748755 0.473599365 0.0359643699
0 1.04867684 0.423070433 0.0323443226
0 1.13986613 0.388274374 0.0274901249
0 1.23105542 0.348294177 0.0248792955
0 1.32224472 0.312404417 0.023504159
0 1.41343401 0.28094961 0.0233350077
0 1.5046233 0.252015781 0.0225378956
0 1.59581259 0.226609135 0.0217210099
0 1.68700188 0.202788352 0.0195280493
0 1.77819117 0.179388645 0.0151411426
0 1.91497511 0.150099363 0.0128692386
0 2.09735369 0.119404678 0.0102476575
0 2.27973227 0.0953815614 0.00812088672
0 2.46211085 0.0759082361 0.0064343727
0 2.64448943 0.0602519232 0.00509719378
0 2.82686801 0.0481402913 0.00414125435
0 3.00924659 0.0381362191 0.00349581716
0 3.19162518 0.030496179 0.00306594334
0 3.37400376 0.0241975617 0.00270585993
0 3.55638234 0.01950723 0.00243617193
0 3.82995021 0.0140977907 0.00186206362
0 4.19470737 0.0092198895 0.00119325923
0 4.55946454 0.0061487804 0.00075139775
0 4.9242217 0.00411247538 0.000485630227
0 5.28897886 0.00275327993 0.000329796466
0 5.65373603 0.00194733253 0.000241209391
0 6.01849319 0.00132829843 0.000168006052
0 6.38325035 0.00094654251 0.000135584968
0 6.74800751 0.000713967243 0.000111641695
0 7.11276468 0.000514449054 9.41783647e-05
0 7.75108971 0.000312267705 6.36185401e-05
0 8.66298262 0.000164530733 3.76651561e-05
1 0.11806161 0.565754247 0.0748846994
1 0.16346992 0.681698877 0.0878845236
1 0.23612322 0.754130234 0.0544054643
1 0.32693984 0.812129779 0.0608846621
1 0.4086748 0.807773006 0.0649142103
1 0.49949143 0.761958811 0.0604431267
1 0.59030805 0.701100134 0.0545508757
1 0.68112467 0.648873313 0.0497298349
1 0.7719413 0.592303334 0.0449685412
1 0.86275792 0.531921179 0.037634602
1 0.95357454 0.478543898 0.0342981147
1 1.04439117 0.423464753 0.0328453221
1 1.13520779 0.388617374 0.0267496729
1 1.22602441 0.349304302 0.0255938706
1 1.31684103 0.313721717 0.0235890618
1 1.40765766 0.281658588 0.025495893
1 1.49847428 0.253782047 0.0241286011
1 1.5892909 0.228335767 0.0204694426
1 1.68010753 0.205394633 0.018994416
1 1.77092415 0.178804701 0.0147870329
1 1.90714908 0.150213376 0.0126241288
1 2.08878233 0.120457975 0.0101342192
1 2.27041558 0.0953997211 0.00796066148
1 2.45204882 0.0763932974 0.0063462691
1 2.63368207 0.0608028563 0.00504150612
1 2.81531532 0.0487679507 0.00411568024
1 2.99694856 0.0387221845 0.00348907528
1 3.17858181 0.0312067505 0.00309118532
1 3.36021505 0.0246103234 0.00272201876
1 3.5418483 0.0193393084 0.00239331195
1 3.81429817 0.0143569296 0.00187871529
1 4.17756466 0.00945147515 0.00121306067
1 4.54083115 0.00630479561 0.000763520693
1 4.90409765 0.00424465449 0.000496673809
1 5.26736414 0.00291726819 0.000346698701
1 5.63063063 0.0020577585 0.000252944052
1 5.99389712 0.00140859928 0.000176973106
1 6.35716362 0.00104828051 0.0001492935
1 6.72043011 0.000768357822 0.000119600291
1 7.0836966 0.000533554969 9.74111981e-05
1 7.71941296 0.000347445866 7.05981381e-05
1 8.62757919 0.000180445298 4.12880466e-05
2 0.11854608 0.56619611 0.0734887744
2 0.16414072 0.686326432 0.0842996751
2 0.23709216 0.764348399 0.0546881274
2 0.32828145 0.822107101 0.0616200555
2 0.41035181 0.813756126 0.065578759
2 0.5015411 0.763367491 0.0610495171
2 0.59273039 0.704079987 0.0537424891
2 0.68391968 0.649104944 0.0496453351
2 0.77510897 0.59215041 0.0450951068
2 0.86629826 0.528073246 0.0369112549
2 0.95748755 0.471710792 0.0334934371
2 1.04867684 0.418821283 0.0321423
2 1.13986613 0.383093249 0.0272106298
2 1.23105542 0.343256005 0.0248901485
2 1.32224472 0.306600085 0.025626507
2 1.41343401 0.276218442 0.0229539734
2 1.5046233 0.24781629 0.021703215
2 1.59581259 0.222091752 0.021258583
2 1.68700188 0.199522027 0.0196838459
2 1.77819117 0.174486775 0.0144143483
2 1.91497511 0.147180412 0.0123569628
2 2.09735369 0.117788515 0.00990012826
2 2.27973227 0.0938137051 0.00781978962
2 2.46211085 0.0742830278 0.00616359564
2 2.64448943 0.0591690885 0.00490053165
2 2.82686801 0.0474247014 0.00399682047
2 3.00924659 0.0381979785 0.00343923521
2 3.19162518 0.0303409924 0.0030036712
2 3.37400376 0.0243592199 0.00269179812
2 3.55638234 0.0196252333 0.00242517837
2 3.82995021 0.0144016763 0.00188348491
2 4.19470737 0.00960494688 0.00123347129
2 4.55946454 0.00647876599 0.000783847908
2 4.9242217 0.00439217103 0.000513079063
2 5.28897886 0.0030176624 0.000357752395
2 5.65373603 0.00210859911 0.000258684642
2 6.01849319 0.00150008256 0.000187957134
2 6.38325035 0.00111584934 0.000158625065
2 6.74800751 0.000796753718 0.000123608638
2 7.11276468 0.000583039452 0.000106120315
2 7.75108971 0.000461071031 9.35430922e-05
2 8.66298262 0.000211999886 4.83190771e-05
3 0.12002142 0.558752224 0.0713180252
3 0.1661835 0.684674831 0.082778313
3 0.24004284 0.776804039 0.0555869987
3 0.33236701 0.828363402 0.0621340855
3 0.41545876 0.811422287 0.0655421866
3 0.50778293 0.758403578 0.0618493628
3 0.6001071 0.702415414 0.0557895763
3 0.69243126 0.643521247 0.0508887678
3 0.78475543 0.583421533 0.0455248458
3 0.8770796 0.521532532 0.0361581477
3 0.96940377 0.464085022 0.0333941723
3 1.06172794 0.409860765 0.0327484423
3 1.15405211 0.37366896 0.0269601989
3 1.24637628 0.334875711 0.0247592459
3 1.33870045 0.299280336 0.023519008
3 1.43102461 0.267986861 0.0217924572
3 1.52334878 0.23972629 0.0214002152
3 1.61567295 0.216808198 0.0242769673
3 1.70799712 0.192341929 0.0189568595
3 1.80032129 0.168218289 0.0139831639
3 1.93880754 0.141975424 0.0119902104
3 2.12345588 0.112803713 0.00953727679
3 2.30810422 0.0902422087 0.00756851709
3 2.49275255 0.071406481 0.00596252575
3 2.67740089 0.0569665601 0.00474743814
3 2.86204923 0.0458399914 0.00388671487
3 3.04669756 0.0365902697 0.00331159425
3 3.2313459 0.0295029194 0.0029355991
3 3.41599424 0.0241452126 0.0026786833
3 3.60064258 0.0192938357 0.00239056752
