#: table_doi: 10.17182/hepdata.61925.v1/t13
#: name: Table 13
#: description: pT-differential invariant yield of kaon+ and kaon- for centrality 10-20%.

#: data_file: Table_13.yaml
#: keyword reactions: PB PB --> K+ X | PB PB --> K- X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence | Strange Production
#: keyword cmenergies: 2760.0
#: CENTRALITY [pct],,,10.0-20.0
#: RE,,,PB PB --> K+ X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2],stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.225,0.2,0.25,29.52,0.42,-0.42,3.64,-3.64,0.7%,-0.7%
0.275,0.25,0.3,25.66,0.23,-0.23,2.1,-2.1,0.7%,-0.7%
0.32499999999999996,0.3,0.35,25.45,0.2,-0.2,1.83,-1.83,0.7%,-0.7%
0.375,0.35,0.4,24.4,0.18,-0.18,1.68,-1.68,0.7%,-0.7%
0.42500000000000004,0.4,0.45,22.41,0.3,-0.3,1.7,-1.7,0.7%,-0.7%
0.475,0.45,0.5,20.25,0.16,-0.16,2.53,-2.53,0.7%,-0.7%
0.525,0.5,0.55,18.06,0.22,-0.22,1.12,-1.12,0.7%,-0.7%
0.575,0.55,0.6,16.2,0.18,-0.18,1.05,-1.05,0.7%,-0.7%
0.625,0.6,0.65,14.51,0.16,-0.16,0.88,-0.88,0.7%,-0.7%
0.675,0.65,0.7,13.39,0.15,-0.15,0.8,-0.8,0.7%,-0.7%
0.725,0.7,0.75,12.17,0.14,-0.14,0.72,-0.72,0.7%,-0.7%
0.775,0.75,0.8,10.96,0.13,-0.13,0.64,-0.64,0.7%,-0.7%
0.825,0.8,0.85,9.799,0.116,-0.116,0.592,-0.592,0.7%,-0.7%
0.875,0.85,0.9,8.838,0.111,-0.111,0.539,-0.539,0.7%,-0.7%
0.925,0.9,0.95,7.716,0.102,-0.102,0.44,-0.44,0.7%,-0.7%
0.975,0.95,1.0,6.895,0.096,-0.096,0.403,-0.403,0.7%,-0.7%
1.05,1.0,1.1,5.695,0.061,-0.061,0.323,-0.323,0.7%,-0.7%
1.15,1.1,1.2,4.445,0.052,-0.052,0.25,-0.25,0.7%,-0.7%
1.25,1.2,1.3,3.428,0.029,-0.029,0.284,-0.284,0.7%,-0.7%
1.35,1.3,1.4,2.695,0.025,-0.025,0.227,-0.227,0.7%,-0.7%
1.45,1.4,1.5,2.057,0.02,-0.02,0.177,-0.177,0.7%,-0.7%
1.55,1.5,1.6,1.588,0.017,-0.017,0.14,-0.14,0.7%,-0.7%
1.65,1.6,1.7,1.222,0.014,-0.014,0.111,-0.111,0.7%,-0.7%
1.75,1.7,1.8,0.9453,0.0118,-0.0118,0.0892,-0.0892,0.7%,-0.7%
1.85,1.8,1.9,0.7313,0.0099,-0.0099,0.0718,-0.0718,0.7%,-0.7%
1.95,1.9,2.0,0.5699,0.0083,-0.0083,0.0584,-0.0584,0.7%,-0.7%
2.05,2.0,2.1,0.445,0.007,-0.007,0.0478,-0.0478,0.7%,-0.7%
2.1500000000000004,2.1,2.2,0.3544,0.0061,-0.0061,0.04,-0.04,0.7%,-0.7%
