#: table_doi: 10.17182/hepdata.61925.v1/t22
#: name: Table 22
#: description: pT-differential invariant yield of proton and antiproton for centrality 5-10%.

#: data_file: Table_22.yaml
#: keyword reactions: PB PB --> P X | PB PB --> PBAR X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword cmenergies: 2760.0
#: CENTRALITY [pct],,,5.0-10.0
#: RE,,,PB PB --> P X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2],stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.32499999999999996,0.3,0.35,3.664,0.117,-0.117,0.509,-0.509,0.5%,-0.5%
0.375,0.35,0.4,3.524,0.09,-0.09,0.484,-0.484,0.5%,-0.5%
0.42500000000000004,0.4,0.45,3.562,0.076,-0.076,0.479,-0.479,0.5%,-0.5%
0.475,0.45,0.5,3.4,0.044,-0.044,0.345,-0.345,0.5%,-0.5%
0.525,0.5,0.55,3.529,0.044,-0.044,0.302,-0.302,0.5%,-0.5%
0.575,0.55,0.6,3.458,0.041,-0.041,0.282,-0.282,0.5%,-0.5%
0.625,0.6,0.65,3.387,0.034,-0.034,0.311,-0.311,0.5%,-0.5%
0.675,0.65,0.7,3.284,0.032,-0.032,0.285,-0.285,0.5%,-0.5%
0.725,0.7,0.75,3.242,0.036,-0.036,0.26,-0.26,0.5%,-0.5%
0.775,0.75,0.8,3.146,0.036,-0.036,0.234,-0.234,0.5%,-0.5%
0.825,0.8,0.85,3.012,0.035,-0.035,0.22,-0.22,0.5%,-0.5%
0.875,0.85,0.9,2.905,0.035,-0.035,0.201,-0.201,0.5%,-0.5%
0.925,0.9,0.95,2.838,0.035,-0.035,0.19,-0.19,0.5%,-0.5%
0.975,0.95,1.0,2.661,0.035,-0.035,0.174,-0.174,0.5%,-0.5%
1.05,1.0,1.1,2.47,0.023,-0.023,0.16,-0.16,0.5%,-0.5%
1.15,1.1,1.2,2.227,0.023,-0.023,0.137,-0.137,0.5%,-0.5%
1.25,1.2,1.3,2.023,0.023,-0.023,0.121,-0.121,0.5%,-0.5%
1.35,1.3,1.4,1.78,0.022,-0.022,0.108,-0.108,0.5%,-0.5%
1.45,1.4,1.5,1.553,0.021,-0.021,0.091,-0.091,0.5%,-0.5%
1.55,1.5,1.6,1.356,0.02,-0.02,0.075,-0.075,0.5%,-0.5%
1.65,1.6,1.7,1.138,0.018,-0.018,0.062,-0.062,0.5%,-0.5%
1.75,1.7,1.8,0.956,0.0164,-0.0164,0.0517,-0.0517,0.5%,-0.5%
1.85,1.8,1.9,0.7881,0.0111,-0.0111,0.0545,-0.0545,0.5%,-0.5%
1.95,1.9,2.0,0.6744,0.0104,-0.0104,0.0469,-0.0469,0.5%,-0.5%
2.05,2.0,2.1,0.5647,0.0095,-0.0095,0.0396,-0.0396,0.5%,-0.5%
2.1500000000000004,2.1,2.2,0.4627,0.0083,-0.0083,0.0329,-0.0329,0.5%,-0.5%
2.25,2.2,2.3,0.3666,0.0069,-0.0069,0.0265,-0.0265,0.5%,-0.5%
2.3499999999999996,2.3,2.4,0.2984,0.0059,-0.0059,0.022,-0.022,0.5%,-0.5%
2.45,2.4,2.5,0.2521,0.0054,-0.0054,0.0191,-0.0191,0.5%,-0.5%
2.55,2.5,2.6,0.1986,0.0046,-0.0046,0.0155,-0.0155,0.5%,-0.5%
2.6500000000000004,2.6,2.7,0.1603,0.0038,-0.0038,0.0129,-0.0129,0.5%,-0.5%
2.75,2.7,2.8,0.138,0.0037,-0.0037,0.0115,-0.0115,0.5%,-0.5%
2.8499999999999996,2.8,2.9,0.1122,0.0033,-0.0033,0.0098,-0.0098,0.5%,-0.5%
2.95,2.9,3.0,0.08378,0.00238,-0.00238,0.0076,-0.0076,0.5%,-0.5%
3.1,3.0,3.2,0.06235,0.0014,-0.0014,0.00605,-0.00605,0.5%,-0.5%
3.3,3.2,3.4,0.03908,0.00095,-0.00095,0.00418,-0.00418,0.5%,-0.5%
3.5,3.4,3.6,0.02509,0.00068,-0.00068,0.00297,-0.00297,0.5%,-0.5%
3.7,3.6,3.8,0.01804,0.00059,-0.00059,0.00237,-0.00237,0.5%,-0.5%
3.9,3.8,4.0,0.01155,0.00041,-0.00041,0.00169,-0.00169,0.5%,-0.5%
4.1,4.0,4.2,0.00805,0.000344,-0.000344,0.001306,-0.001306,0.5%,-0.5%
4.300000000000001,4.2,4.4,0.005085,0.000243,-0.000243,0.000916,-0.000916,0.5%,-0.5%
4.5,4.4,4.6,0.003256,0.00018,-0.00018,0.00065,-0.00065,0.5%,-0.5%

#: CENTRALITY [pct],,,5.0-10.0
#: RE,,,PB PB --> PBAR X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2],stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.32499999999999996,0.3,0.35,3.852,0.138,-0.138,0.566,-0.566,0.5%,-0.5%
0.375,0.35,0.4,3.635,0.101,-0.101,0.505,-0.505,0.5%,-0.5%
0.42500000000000004,0.4,0.45,3.619,0.087,-0.087,0.497,-0.497,0.5%,-0.5%
0.475,0.45,0.5,3.495,0.052,-0.052,0.374,-0.374,0.5%,-0.5%
