#: table_doi: 10.17182/hepdata.61925.v1/t31
#: name: Table 31
#: description: Centrality dependence of charged particle multiplicity density and mid-rapidity particle yields for pi+, pi-, K+, K-, p, pbar production.

#: data_file: Table_31.yaml
#: keyword reactions: PB PB --> CHARGED X | PB PB --> PI+ X | PB PB --> PI- X | PB PB --> K+ X | PB PB --> K- X | PB PB --> P X | PB PB --> PBAR X
#: keyword observables: DN/DYRAP | DN/DCENTRALITY | CENTRALITY
#: keyword phrases: Inclusive | Differential Distribution | Rapidity Dependence | Strange Production
#: keyword cmenergies: 2760.0
#: RE,,,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
CENTRALITY [PCT],CENTRALITY [PCT] LOW,CENTRALITY [PCT] HIGH,DNch/DETARAP (|ETARAP| .LT. 0.5),error +,error -
2.5,0.0,5.0,1601.0,60.0,-60.0
7.5,5.0,10.0,1294.0,49.0,-49.0
15.0,10.0,20.0,966.0,37.0,-37.0
25.0,20.0,30.0,649.0,23.0,-23.0
35.0,30.0,40.0,426.0,15.0,-15.0
45.0,40.0,50.0,261.0,9.0,-9.0
55.0,50.0,60.0,149.0,6.0,-6.0
65.0,60.0,70.0,76.0,4.0,-4.0
75.0,70.0,80.0,35.0,2.0,-2.0
85.0,80.0,90.0,13.4,1.6,-1.2

#: RE,,,PB PB --> PI+ X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
CENTRALITY [PCT],CENTRALITY [PCT] LOW,CENTRALITY [PCT] HIGH,DN/DYRAP,error +,error -
2.5,0.0,5.0,733.0,54.0,-54.0
7.5,5.0,10.0,606.0,42.0,-42.0
15.0,10.0,20.0,455.0,31.0,-31.0
25.0,20.0,30.0,307.0,20.0,-20.0
35.0,30.0,40.0,201.0,13.0,-13.0
45.0,40.0,50.0,124.0,8.0,-8.0
55.0,50.0,60.0,71.0,5.0,-5.0
65.0,60.0,70.0,37.0,2.0,-2.0
75.0,70.0,80.0,17.1,1.1,-1.1
85.0,80.0,90.0,6.6,0.4,-0.4

#: RE,,,PB PB --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
CENTRALITY [PCT],CENTRALITY [PCT] LOW,CENTRALITY [PCT] HIGH,DN/DYRAP,error +,error -
2.5,0.0,5.0,732.0,52.0,-52.0
7.5,5.0,10.0,604.0,42.0,-42.0
15.0,10.0,20.0,453.0,31.0,-31.0
