#: table_doi: 10.17182/hepdata.61925.v1/t32
#: name: Table 32
#: description: Centrality dependence of mean transverse momentum for pi+, pi-, K+, K-, p, pbar production.

#: data_file: Table_32.yaml
#: keyword reactions: PB PB --> PI+ X | PB PB --> PI- X | PB PB --> K+ X | PB PB --> K- X | PB PB --> P X | PB PB --> PBAR X
#: keyword observables: MEAN(PT)
#: keyword phrases: Inclusive | Strange Production
#: keyword cmenergies: 2760.0
#: RE,,,PB PB --> PI+ X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
CENTRALITY [PCT],CENTRALITY [PCT] LOW,CENTRALITY [PCT] HIGH,MEAN(PT) [GEV],error +,error -
2.5,0.0,5.0,0.517,0.019,-0.019
7.5,5.0,10.0,0.517,0.018,-0.018
15.0,10.0,20.0,0.517,0.017,-0.017
25.0,20.0,30.0,0.512,0.017,-0.017
35.0,30.0,40.0,0.504,0.017,-0.017
45.0,40.0,50.0,0.492,0.017,-0.017
55.0,50.0,60.0,0.478,0.017,-0.017
65.0,60.0,70.0,0.465,0.017,-0.017
75.0,70.0,80.0,0.452,0.017,-0.017
85.0,80.0,90.0,0.434,0.014,-0.014

#: RE,,,PB PB --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
CENTRALITY [PCT],CENTRALITY [PCT] LOW,CENTRALITY [PCT] HIGH,MEAN(PT) [GEV],error +,error -
2.5,0.0,5.0,0.52,0.018,-0.018
7.5,5.0,10.0,0.521,0.017,-0.017
15.0,10.0,20.0,0.521,0.017,-0.017
25.0,20.0,30.0,0.516,0.017,-0.017
35.0,30.0,40.0,0.507,0.017,-0.017
45.0,40.0,50.0,0.497,0.018,-0.018
55.0,50.0,60.0,0.483,0.017,-0.017
65.0,60.0,70.0,0.47,0.016,-0.016
75.0,70.0,80.0,0.455,0.017,-0.017
85.0,80.0,90.0,0.439,0.017,-0.017

#: RE,,,PB PB --> K+ X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
CENTRALITY [PCT],CENTRALITY [PCT] LOW,CENTRALITY [PCT] HIGH,MEAN(PT) [GEV],error +,error -
2.5,0.0,5.0,0.876,0.026,-0.026
7.5,5.0,10.0,0.872,0.025,-0.025
15.0,10.0,20.0,0.871,0.027,-0.027
25.0,20.0,30.0,0.86,0.029,-0.029
35.0,30.0,40.0,0.842,0.032,-0.032
45.0,40.0,50.0,0.818,0.03,-0.03
55.0,50.0,60.0,0.79,0.028,-0.028
65.0,60.0,70.0,0.76,0.028,-0.028
75.0,70.0,80.0,0.737,0.027,-0.027
85.0,80.0,90.0,0.711,0.027,-0.027

#: RE,,,PB PB --> K- X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
CENTRALITY [PCT],CENTRALITY [PCT] LOW,CENTRALITY [PCT] HIGH,MEAN(PT) [GEV],error +,error -
2.5,0.0,5.0,0.867,0.027,-0.027
7.5,5.0,10.0,0.866,0.028,-0.028
15.0,10.0,20.0,0.864,0.03,-0.03
25.0,20.0,30.0,0.851,0.034,-0.034
35.0,30.0,40.0,0.831,0.031,-0.031
45.0,40.0,50.0,0.808,0.028,-0.028
55.0,50.0,60.0,0.775,0.027,-0.027
65.0,60.0,70.0,0.754,0.027,-0.027
75.0,70.0,80.0,0.733,0.028,-0.028
85.0,80.0,90.0,0.692,0.026,-0.026

#: RE,,,PB PB --> P X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
CENTRALITY [PCT],CENTRALITY [PCT] LOW,CENTRALITY [PCT] HIGH,MEAN(PT) [GEV],error +,error -
2.5,0.0,5.0,1.333,0.033,-0.033
7.5,5.0,10.0,1.324,0.033,-0.033
15.0,10.0,20.0,1.311,0.034,-0.034
25.0,20.0,30.0,1.281,0.033,-0.033
35.0,30.0,40.0,1.237,0.032,-0.032
45.0,40.0,50.0,1.178,0.03,-0.03
55.0,50.0,60.0,1.118,0.028,-0.028
65.0,60.0,70.0,1.05,0.027,-0.027
75.0,70.0,80.0,0.987,0.025,-0.025
85.0,80.0,90.0,0.905,0.026,-0.026

#: RE,,,PB PB --> PBAR X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
CENTRALITY [PCT],CENTRALITY [PCT] LOW,CENTRALITY [PCT] HIGH,MEAN(PT) [GEV],error +,error -
2.5,0.0,5.0,1.353,0.034,-0.034
7.5,5.0,10.0,1.344,0.033,-0.033
15.0,10.0,20.0,1.325,0.036,-0.036
25.0,20.0,30.0,1.295,0.039,-0.039
35.0,30.0,40.0,1.243,0.041,-0.041
45.0,40.0,50.0,1.182,0.033,-0.033
55.0,50.0,60.0,1.107,0.032,-0.032
65.0,60.0,70.0,1.045,0.039,-0.039
75.0,70.0,80.0,0.981,0.031,-0.031
85.0,80.0,90.0,0.89,0.035,-0.035

