#: table_doi: 10.17182/hepdata.61925.v1/t33
#: name: Table 33
#: description: pi-/pi+ ratio in Pb-Pb collisions at sqrt(sNN) = 2.76 TeV.

#: data_file: Table_33.yaml
#: keyword reactions: PB PB --> PI+ X | PB PB --> PI- X
#: keyword observables: SIG/SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section
#: keyword cmenergies: 2760.0
#: RE(PI+),,,PB PB --> PI+ X
#: RE(PI-),,,PB PB --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
CENTRALITY [PCT],CENTRALITY [PCT] LOW,CENTRALITY [PCT] HIGH,DNch/DETARAP (|ETARAP| .LT. 0.5),error +,error -
2.5,0.0,5.0,1601.0,60.0,-60.0
7.5,5.0,10.0,1294.0,49.0,-49.0
15.0,10.0,20.0,966.0,37.0,-37.0
25.0,20.0,30.0,649.0,23.0,-23.0
35.0,30.0,40.0,426.0,15.0,-15.0
45.0,40.0,50.0,261.0,9.0,-9.0
55.0,50.0,60.0,149.0,6.0,-6.0
65.0,60.0,70.0,76.0,4.0,-4.0
75.0,70.0,80.0,35.0,2.0,-2.0
85.0,80.0,90.0,13.4,1.6,-1.2

#: RE(PI+),,,PB PB --> PI+ X
#: RE(PI-),,,PB PB --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
CENTRALITY [PCT],CENTRALITY [PCT] LOW,CENTRALITY [PCT] HIGH,SIG(PI-)/SIG(PI+),stat +,stat -,sys +,sys -
2.5,0.0,5.0,0.9982,0.0009,-0.0009,0.0339,-0.0339
7.5,5.0,10.0,0.9972,0.001,-0.001,0.0339,-0.0339
15.0,10.0,20.0,0.9959,0.0008,-0.0008,0.0339,-0.0339
25.0,20.0,30.0,0.9949,0.0009,-0.0009,0.0338,-0.0338
35.0,30.0,40.0,0.9943,0.001,-0.001,0.0338,-0.0338
45.0,40.0,50.0,0.9923,0.0012,-0.0012,0.0337,-0.0337
55.0,50.0,60.0,0.9891,0.0016,-0.0016,0.0336,-0.0336
65.0,60.0,70.0,0.9899,0.002,-0.002,0.0337,-0.0337
75.0,70.0,80.0,0.9937,0.0028,-0.0028,0.0338,-0.0338
85.0,80.0,90.0,0.991,0.0041,-0.0041,0.0337,-0.0337

