#: table_doi: 10.17182/hepdata.61925.v1/t34
#: name: Table 34
#: description: K-/K+ ratio in Pb-Pb collisions at sqrt(sNN) = 2.76 TeV.

#: data_file: Table_34.yaml
#: keyword reactions: PB PB --> K+ X | PB PB --> K- X
#: keyword observables: SIG/SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Strange Production
#: keyword cmenergies: 2760.0
#: RE(K+),,,PB PB --> K+ X
#: RE(K-),,,PB PB --> K- X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
CENTRALITY [PCT],CENTRALITY [PCT] LOW,CENTRALITY [PCT] HIGH,DNch/DETARAP (|ETARAP| .LT. 0.5),error +,error -
2.5,0.0,5.0,1601.0,60.0,-60.0
7.5,5.0,10.0,1294.0,49.0,-49.0
15.0,10.0,20.0,966.0,37.0,-37.0
25.0,20.0,30.0,649.0,23.0,-23.0
35.0,30.0,40.0,426.0,15.0,-15.0
45.0,40.0,50.0,261.0,9.0,-9.0
55.0,50.0,60.0,149.0,6.0,-6.0
65.0,60.0,70.0,76.0,4.0,-4.0
75.0,70.0,80.0,35.0,2.0,-2.0
85.0,80.0,90.0,13.4,1.6,-1.2

#: RE(K+),,,PB PB --> K+ X
#: RE(K-),,,PB PB --> K- X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
CENTRALITY [PCT],CENTRALITY [PCT] LOW,CENTRALITY [PCT] HIGH,SIG(K-)/SIG(K+),stat +,stat -,sys +,sys -
2.5,0.0,5.0,0.9963,0.004,-0.004,0.0428,-0.0428
7.5,5.0,10.0,0.9919,0.0041,-0.0041,0.0426,-0.0426
15.0,10.0,20.0,0.9917,0.0031,-0.0031,0.0426,-0.0426
25.0,20.0,30.0,0.9962,0.0035,-0.0035,0.0428,-0.0428
35.0,30.0,40.0,0.993,0.0041,-0.0041,0.0427,-0.0427
45.0,40.0,50.0,0.9901,0.005,-0.005,0.0426,-0.0426
55.0,50.0,60.0,1.002,0.007,-0.007,0.043,-0.043
65.0,60.0,70.0,0.9913,0.0081,-0.0081,0.0426,-0.0426
75.0,70.0,80.0,0.9929,0.0113,-0.0113,0.0427,-0.0427
85.0,80.0,90.0,1.01,0.018,-0.018,0.043,-0.043

