#: table_doi: 10.17182/hepdata.61925.v1/t35
#: name: Table 35
#: description: PBAR/P ratio in Pb-Pb collisions at sqrt(sNN) = 2.76 TeV.

#: data_file: Table_35.yaml
#: keyword reactions: PB PB --> P X | PB PB --> PBAR X
#: keyword observables: SIG/SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section
#: keyword cmenergies: 2760.0
#: RE(P),,,PB PB --> P X
#: RE(PBAR),,,PB PB --> PBAR X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
CENTRALITY [PCT],CENTRALITY [PCT] LOW,CENTRALITY [PCT] HIGH,DNch/DETARAP (|ETARAP| .LT. 0.5),error +,error -
2.5,0.0,5.0,1601.0,60.0,-60.0
7.5,5.0,10.0,1294.0,49.0,-49.0
15.0,10.0,20.0,966.0,37.0,-37.0
25.0,20.0,30.0,649.0,23.0,-23.0
35.0,30.0,40.0,426.0,15.0,-15.0
45.0,40.0,50.0,261.0,9.0,-9.0
55.0,50.0,60.0,149.0,6.0,-6.0
65.0,60.0,70.0,76.0,4.0,-4.0
75.0,70.0,80.0,35.0,2.0,-2.0
85.0,80.0,90.0,13.4,1.6,-1.2

#: RE(P),,,PB PB --> P X
#: RE(PBAR),,,PB PB --> PBAR X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
CENTRALITY [PCT],CENTRALITY [PCT] LOW,CENTRALITY [PCT] HIGH,SIG(PBAR)/SIG(P),stat +,stat -,sys +,sys -
2.5,0.0,5.0,0.9896,0.0036,-0.0036,0.0534,-0.0534
7.5,5.0,10.0,0.9954,0.0042,-0.0042,0.0537,-0.0537
15.0,10.0,20.0,1.003,0.003,-0.003,0.054,-0.054
25.0,20.0,30.0,1.005,0.004,-0.004,0.054,-0.054
35.0,30.0,40.0,1.016,0.004,-0.004,0.055,-0.055
45.0,40.0,50.0,1.017,0.005,-0.005,0.055,-0.055
55.0,50.0,60.0,1.017,0.007,-0.007,0.055,-0.055
65.0,60.0,70.0,1.026,0.008,-0.008,0.055,-0.055
75.0,70.0,80.0,1.031,0.011,-0.011,0.056,-0.056
85.0,80.0,90.0,1.02,0.018,-0.018,0.055,-0.055

