#: table_doi: 10.17182/hepdata.61925.v1/t37
#: name: Table 37
#: description: K/pi ratio in Pb-Pb collisions at sqrt(sNN) = 2.76 TeV.

#: data_file: Table_37.yaml
#: keyword reactions: PB PB --> K+ X | PB PB --> K- X | PB PB --> PI+ X | PB PB --> PI- X
#: keyword observables: SIG/SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Strange Production
#: keyword cmenergies: 2760.0
#: RE(K+ + K-),,,PB PB --> (K+ + K-) X
#: RE(PI+ + PI-),,,PB PB --> (PI+ + PI-) X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
CENTRALITY [PCT],CENTRALITY [PCT] LOW,CENTRALITY [PCT] HIGH,DNch/DETARAP (|ETARAP| .LT. 0.5),error +,error -
2.5,0.0,5.0,1601.0,60.0,-60.0
7.5,5.0,10.0,1294.0,49.0,-49.0
15.0,10.0,20.0,966.0,37.0,-37.0
25.0,20.0,30.0,649.0,23.0,-23.0
35.0,30.0,40.0,426.0,15.0,-15.0
45.0,40.0,50.0,261.0,9.0,-9.0
55.0,50.0,60.0,149.0,6.0,-6.0
65.0,60.0,70.0,76.0,4.0,-4.0
75.0,70.0,80.0,35.0,2.0,-2.0
85.0,80.0,90.0,13.4,1.6,-1.2

#: RE(K+ + K-),,,PB PB --> (K+ + K-) X
#: RE(PI+ + PI-),,,PB PB --> (PI+ + PI-) X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
CENTRALITY [PCT],CENTRALITY [PCT] LOW,CENTRALITY [PCT] HIGH,SIG(K+ + K-)/SIG(PI+ + PI-),stat +,stat -,sys +,sys -
2.5,0.0,5.0,0.1485,0.0003,-0.0003,0.0104,-0.0104
7.5,5.0,10.0,0.1496,0.0003,-0.0003,0.0105,-0.0105
15.0,10.0,20.0,0.1497,0.0002,-0.0002,0.0105,-0.0105
25.0,20.0,30.0,0.1497,0.0003,-0.0003,0.0105,-0.0105
35.0,30.0,40.0,0.1488,0.0003,-0.0003,0.0104,-0.0104
45.0,40.0,50.0,0.1469,0.0004,-0.0004,0.0103,-0.0103
55.0,50.0,60.0,0.144,0.0005,-0.0005,0.0101,-0.0101
65.0,60.0,70.0,0.1385,0.0006,-0.0006,0.0097,-0.0097
75.0,70.0,80.0,0.1333,0.0008,-0.0008,0.0093,-0.0093
85.0,80.0,90.0,0.1296,0.0012,-0.0012,0.0091,-0.0091

