#: table_doi: 10.17182/hepdata.61925.v1/t45
#: name: Table 45
#: description: pT-differential ratio of proton / pion in Pb-Pb collisions at sqrt(sNN) = 2.76 TeV for centrality 60-70%.

#: data_file: Table_45.yaml
#: keyword reactions: PB PB --> P X | PB PB --> PBAR X | PB PB --> PI+ X | PB PB --> PI- X
#: keyword observables: SIG/SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section
#: keyword cmenergies: 2760.0
#: CENTRALITY [pct],,,60.0-70.0
#: RE(P + PBAR),,,PB PB --> (P + PBAR) X
#: RE(PI+ + PI-),,,PB PB --> (PI+ + PI-) X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,SIG(P + PBAR)/SIG(PI+ + PI-),stat +,stat -,sys +,sys -
0.32499999999999996,0.3,0.35,0.02116,0.0009,-0.0009,0.00237,-0.00237
0.375,0.35,0.4,0.0234,0.00074,-0.00074,0.0025,-0.0025
0.42500000000000004,0.4,0.45,0.03104,0.00086,-0.00086,0.00321,-0.00321
0.475,0.45,0.5,0.03481,0.00073,-0.00073,0.00508,-0.00508
0.525,0.5,0.55,0.04276,0.00081,-0.00081,0.00365,-0.00365
0.575,0.55,0.6,0.05101,0.0009,-0.0009,0.00393,-0.00393
0.625,0.6,0.65,0.06024,0.00109,-0.00109,0.00242,-0.00242
0.675,0.65,0.7,0.07025,0.00164,-0.00164,0.00274,-0.00274
0.725,0.7,0.75,0.08354,0.00207,-0.00207,0.00286,-0.00286
0.775,0.75,0.8,0.09674,0.00242,-0.00242,0.00352,-0.00352
0.825,0.8,0.85,0.1073,0.0028,-0.0028,0.004,-0.004
0.875,0.85,0.9,0.1201,0.0033,-0.0033,0.004,-0.004
0.925,0.9,0.95,0.1328,0.0037,-0.0037,0.0055,-0.0055
0.975,0.95,1.0,0.1454,0.0043,-0.0043,0.0045,-0.0045
1.05,1.0,1.1,0.1666,0.0037,-0.0037,0.0053,-0.0053
1.15,1.1,1.2,0.1888,0.0045,-0.0045,0.0059,-0.0059
1.25,1.2,1.3,0.2105,0.0031,-0.0031,0.0086,-0.0086
1.35,1.3,1.4,0.2424,0.0039,-0.0039,0.0098,-0.0098
1.45,1.4,1.5,0.2598,0.0045,-0.0045,0.0105,-0.0105
1.55,1.5,1.6,0.2851,0.0055,-0.0055,0.0117,-0.0117
1.65,1.6,1.7,0.2996,0.0062,-0.0062,0.0127,-0.0127
1.75,1.7,1.8,0.3197,0.0073,-0.0073,0.0141,-0.0141
1.85,1.8,1.9,0.3275,0.0082,-0.0082,0.0151,-0.0151
1.95,1.9,2.0,0.3307,0.0089,-0.0089,0.0161,-0.0161
2.05,2.0,2.1,0.3806,0.0116,-0.0116,0.0196,-0.0196
2.1500000000000004,2.1,2.2,0.3663,0.0123,-0.0123,0.02,-0.02
2.25,2.2,2.3,0.3787,0.0135,-0.0135,0.0219,-0.0219
2.3499999999999996,2.3,2.4,0.3713,0.0137,-0.0137,0.0227,-0.0227
2.45,2.4,2.5,0.4186,0.0181,-0.0181,0.0269,-0.0269
2.55,2.5,2.6,0.3999,0.0197,-0.0197,0.027,-0.027
2.6500000000000004,2.6,2.7,0.3777,0.0197,-0.0197,0.0266,-0.0266
2.75,2.7,2.8,0.3636,0.019,-0.019,0.0265,-0.0265
2.8499999999999996,2.8,2.9,0.4375,0.025,-0.025,0.0327,-0.0327
2.95,2.9,3.0,0.3731,0.023,-0.023,0.0285,-0.0285

