#: table_doi: 10.17182/hepdata.61925.v1/t53
#: name: Table 53
#: description: pT-differential ratio of kaon / pion in Pb-Pb collisions at sqrt(sNN) = 2.76 TeV for centrality 40-50%.

#: data_file: Table_53.yaml
#: keyword reactions: PB PB --> K+ X | PB PB --> K- X | PB PB --> PI+ X | PB PB --> PI- X
#: keyword observables: SIG/SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Strange Production
#: keyword cmenergies: 2760.0
#: CENTRALITY [pct],,,40.0-50.0
#: RE(K+ + K-),,,PB PB --> (K+ + K-) X
#: RE(PI+ + PI-),,,PB PB --> (PI+ + PI-) X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,SIG(K+ + K-)/SIG(PI+ + PI-),stat +,stat -,sys +,sys -
0.225,0.2,0.25,0.06424,0.0009,-0.0009,0.00485,-0.00485
0.275,0.25,0.3,0.07744,0.00082,-0.00082,0.00477,-0.00477
0.32499999999999996,0.3,0.35,0.09607,0.0009,-0.0009,0.00425,-0.00425
0.375,0.35,0.4,0.1147,0.001,-0.001,0.0047,-0.0047
0.42500000000000004,0.4,0.45,0.1308,0.0022,-0.0022,0.0067,-0.0067
0.475,0.45,0.5,0.1509,0.0015,-0.0015,0.0096,-0.0096
0.525,0.5,0.55,0.1654,0.0024,-0.0024,0.0068,-0.0068
0.575,0.55,0.6,0.1816,0.0027,-0.0027,0.0058,-0.0058
0.625,0.6,0.65,0.1936,0.0029,-0.0029,0.0065,-0.0065
0.675,0.65,0.7,0.2122,0.0032,-0.0032,0.0075,-0.0075
0.725,0.7,0.75,0.2318,0.0036,-0.0036,0.0081,-0.0081
0.775,0.75,0.8,0.2467,0.004,-0.004,0.0077,-0.0077
0.825,0.8,0.85,0.2581,0.0044,-0.0044,0.0075,-0.0075
0.875,0.85,0.9,0.278,0.0049,-0.0049,0.0085,-0.0085
0.925,0.9,0.95,0.2922,0.0054,-0.0054,0.0099,-0.0099
0.975,0.95,1.0,0.3091,0.006,-0.006,0.0148,-0.0148
1.05,1.0,1.1,0.3213,0.0048,-0.0048,0.0093,-0.0093
1.15,1.1,1.2,0.3401,0.0056,-0.0056,0.0121,-0.0121
1.25,1.2,1.3,0.355,0.004,-0.004,0.0177,-0.0177
1.35,1.3,1.4,0.3775,0.0046,-0.0046,0.02,-0.02
1.45,1.4,1.5,0.4016,0.0054,-0.0054,0.0228,-0.0228
1.55,1.5,1.6,0.4207,0.0062,-0.0062,0.0259,-0.0259
1.65,1.6,1.7,0.4304,0.0068,-0.0068,0.0289,-0.0289
1.75,1.7,1.8,0.4486,0.0077,-0.0077,0.0328,-0.0328
1.85,1.8,1.9,0.4612,0.0086,-0.0086,0.0367,-0.0367
1.95,1.9,2.0,0.4673,0.0097,-0.0097,0.0405,-0.0405
2.05,2.0,2.1,0.4674,0.0103,-0.0103,0.0439,-0.0439
2.1500000000000004,2.1,2.2,0.5004,0.0123,-0.0123,0.0507,-0.0507
2.25,2.2,2.3,0.4987,0.0132,-0.0132,0.0543,-0.0543
2.3499999999999996,2.3,2.4,0.5214,0.0148,-0.0148,0.0606,-0.0606
2.45,2.4,2.5,0.5111,0.0169,-0.0169,0.0632,-0.0632
2.55,2.5,2.6,0.5038,0.0175,-0.0175,0.0658,-0.0658
2.6500000000000004,2.6,2.7,0.4969,0.0194,-0.0194,0.0682,-0.0682
2.75,2.7,2.8,0.5031,0.0201,-0.0201,0.0722,-0.0722
2.8499999999999996,2.8,2.9,0.494,0.0198,-0.0198,0.0737,-0.0737
2.95,2.9,3.0,0.4875,0.0222,-0.0222,0.0751,-0.0751

