#: table_doi: 10.17182/hepdata.61925.v1/t6
#: name: Table 6
#: description: pT-differential invariant yield of pion+ and pion- for centrality 40-50%.

#: data_file: Table_6.yaml
#: keyword reactions: PB PB --> PI+ X | PB PB --> PI- X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword cmenergies: 2760.0
#: CENTRALITY [pct],,,40.0-50.0
#: RE,,,PB PB --> PI+ X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2],stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.11,0.1,0.12,289.6,1.9,-1.9,32.0,-32.0,2.4%,-2.4%
0.13,0.12,0.14,254.0,1.2,-1.2,24.9,-24.9,2.4%,-2.4%
0.15000000000000002,0.14,0.16,231.7,1.0,-1.0,22.6,-22.6,2.4%,-2.4%
0.16999999999999998,0.16,0.18,203.8,0.8,-0.8,19.9,-19.9,2.4%,-2.4%
0.19,0.18,0.2,181.5,0.7,-0.7,17.7,-17.7,2.4%,-2.4%
0.225,0.2,0.25,145.6,0.4,-0.4,9.4,-9.4,2.4%,-2.4%
0.275,0.25,0.3,109.1,0.3,-0.3,7.0,-7.0,2.4%,-2.4%
0.32499999999999996,0.3,0.35,83.24,0.26,-0.26,5.64,-5.64,2.4%,-2.4%
0.375,0.35,0.4,64.27,0.22,-0.22,4.07,-4.07,2.4%,-2.4%
0.42500000000000004,0.4,0.45,50.22,0.18,-0.18,3.11,-3.11,2.4%,-2.4%
0.475,0.45,0.5,39.59,0.15,-0.15,2.44,-2.44,2.4%,-2.4%
0.525,0.5,0.55,30.99,0.12,-0.12,1.45,-1.45,2.4%,-2.4%
0.575,0.55,0.6,24.96,0.1,-0.1,1.15,-1.15,2.4%,-2.4%
0.625,0.6,0.65,20.29,0.11,-0.11,1.02,-1.02,2.4%,-2.4%
0.675,0.65,0.7,16.66,0.09,-0.09,0.83,-0.83,2.4%,-2.4%
0.725,0.7,0.75,13.68,0.08,-0.08,0.68,-0.68,2.4%,-2.4%
0.775,0.75,0.8,11.28,0.07,-0.07,0.57,-0.57,2.4%,-2.4%
0.825,0.8,0.85,9.356,0.066,-0.066,0.462,-0.462,2.4%,-2.4%
0.875,0.85,0.9,7.89,0.059,-0.059,0.389,-0.389,2.4%,-2.4%
0.925,0.9,0.95,6.585,0.055,-0.055,0.322,-0.322,2.4%,-2.4%
0.975,0.95,1.0,5.458,0.049,-0.049,0.267,-0.267,2.4%,-2.4%
