#: table_doi: 10.17182/hepdata.110161.v1/t12
#: name: Table 12
#: description: $p_{T}$-distributions of protons ($p+pbar$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 20-30%.
#: data_file: table_12.yaml
#: keyword observables: DN/DPT
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> P X | XE XE --> PBAR X
#: CENTRALITY [pct],,,20.0-30.0
#: RE,,,XE XE --> P X, XE XE --> PBAR X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -
0.32499999999999996,0.3,0.35,5.5856,0.094924,-0.094924,1.2324,-1.2324
0.375,0.35,0.4,6.4658,0.091352,-0.091352,1.138,-1.138
0.42500000000000004,0.4,0.45,8.5187,0.10809,-0.10809,1.2769,-1.2769
0.475,0.45,0.5,9.7541,0.10668,-0.10668,1.2851,-1.2851
0.525,0.5,0.55,10.918,0.10904,-0.10904,1.1994,-1.1994
0.575,0.55,0.6,9.3368,0.095705,-0.095705,0.88923,-0.88923
0.625,0.6,0.65,9.7154,0.078745,-0.078745,1.3394,-1.3394
0.675,0.65,0.7,10.175,0.10033,-0.10033,1.6316,-1.6316
0.725,0.7,0.75,10.709,0.10934,-0.10934,1.6456,-1.6456
0.775,0.75,0.8,11.086,0.13207,-0.13207,1.5276,-1.5276
0.825,0.8,0.85,11.192,0.13175,-0.13175,1.3232,-1.3232
0.875,0.85,0.9,11.832,0.14201,-0.14201,1.3469,-1.3469
0.925,0.9,0.95,11.664,0.13932,-0.13932,1.2973,-1.2973
0.975,0.95,1.0,11.829,0.14898,-0.14898,1.3526,-1.3526
1.05,1.0,1.1,11.62,0.10623,-0.10623,1.2061,-1.2061
1.15,1.1,1.2,11.76,0.11343,-0.11343,1.0314,-1.0314
1.25,1.2,1.3,11.234,0.11539,-0.11539,0.82648,-0.82648
1.35,1.3,1.4,11.023,0.12191,-0.12191,0.71585,-0.71585
1.45,1.4,1.5,10.116,0.11826,-0.11826,0.66853,-0.66853
1.55,1.5,1.6,9.3719,0.11704,-0.11704,0.6732,-0.6732
1.65,1.6,1.7,8.5402,0.11535,-0.11535,0.56643,-0.56643
1.75,1.7,1.8,7.4953,0.10332,-0.10332,0.40303,-0.40303
1.85,1.8,1.9,6.9474,0.10463,-0.10463,0.32127,-0.32127
1.95,1.9,2.0,6.0564,0.095995,-0.095995,0.29776,-0.29776
2.1,2.0,2.2,4.89,0.059146,-0.059146,0.25217,-0.25217
2.3,2.2,2.4,3.6503,0.049,-0.049,0.22969,-0.22969
2.5,2.4,2.6,2.6188,0.03942,-0.03942,0.23864,-0.23864
2.7,2.6,2.8,1.9317,0.032458,-0.032458,0.21422,-0.21422
2.9,2.8,3.0,1.4077,0.026636,-0.026636,0.1334,-0.1334
3.1,3.0,3.2,1.0176,0.022677,-0.022677,0.06504,-0.06504
3.3,3.2,3.4,0.72198,0.017321,-0.017321,0.03631,-0.03631
3.5,3.4,3.6,0.48937,0.0129,-0.0129,0.025222,-0.025222
3.7,3.6,3.8,0.38079,0.01173,-0.01173,0.021238,-0.021238
3.9,3.8,4.0,0.26222,0.012449,-0.012449,0.018175,-0.018175
4.25,4.0,4.5,0.15282,0.0041098,-0.0041098,0.010831,-0.010831
4.75,4.5,5.0,0.070449,0.002622,-0.002622,0.0074099,-0.0074099

