#: table_doi: 10.17182/hepdata.110161.v1/t2
#: name: Table 2
#: description: $p_{T}$-distributions of kaons ($K^{+}+K^{-}$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 0-5%.
#: data_file: table_2.yaml
#: keyword observables: DN/DPT
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> K+ X | XE XE --> K- X
#: CENTRALITY [pct],,,0.0-5.0
#: RE,,,XE XE --> K+ X, XE XE --> K- X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -
0.225,0.2,0.25,65.834,0.38705,-0.38705,5.922,-5.922
0.275,0.25,0.3,106.93,0.57263,-0.57263,9.03,-9.03
0.32499999999999996,0.3,0.35,105.29,0.32723,-0.32723,7.8418,-7.8418
0.375,0.35,0.4,114.17,0.3956,-0.3956,6.7918,-6.7918
0.42500000000000004,0.4,0.45,123.2,0.36187,-0.36187,6.7013,-6.7013
0.475,0.45,0.5,128.07,0.84596,-0.84596,14.116,-14.116
0.525,0.5,0.55,127.44,0.84485,-0.84485,13.947,-13.947
0.575,0.55,0.6,126.42,0.84647,-0.84647,14.012,-14.012
0.625,0.6,0.65,125.27,0.85547,-0.85547,13.157,-13.157
0.675,0.65,0.7,122.64,0.87125,-0.87125,12.807,-12.807
0.725,0.7,0.75,123.21,0.913,-0.913,11.514,-11.514
0.775,0.75,0.8,118.32,0.90256,-0.90256,10.851,-10.851
0.825,0.8,0.85,112.67,0.88971,-0.88971,10.902,-10.902
0.875,0.85,0.9,105.11,0.87165,-0.87165,10.509,-10.509
0.925,0.9,0.95,97.753,0.85695,-0.85695,10.72,-10.72
0.975,0.95,1.0,90.981,0.84064,-0.84064,10.015,-10.015
1.05,1.0,1.1,82.107,0.57205,-0.57205,8.5971,-8.5971
1.15,1.1,1.2,72.018,0.53058,-0.53058,6.7971,-6.7971
1.25,1.2,1.3,60.86,0.4804,-0.4804,5.8265,-5.8265
1.35,1.3,1.4,49.707,0.46184,-0.46184,5.158,-5.158
1.45,1.4,1.5,42.789,0.43449,-0.43449,3.9532,-3.9532
1.55,1.5,1.6,37.14,0.38423,-0.38423,3.0476,-3.0476
1.65,1.6,1.7,31.027,0.34437,-0.34437,2.5479,-2.5479
1.75,1.7,1.8,25.48,0.35483,-0.35483,2.1102,-2.1102
1.85,1.8,1.9,20.666,0.30713,-0.30713,1.5913,-1.5913
1.95,1.9,2.0,16.861,0.33499,-0.33499,1.5922,-1.5922
2.1,2.0,2.2,12.872,0.17481,-0.17481,0.93822,-0.93822
2.3,2.2,2.4,8.7574,0.15772,-0.15772,0.68866,-0.68866
2.5,2.4,2.6,5.7116,0.12959,-0.12959,0.54785,-0.54785
2.7,2.6,2.8,4.075,0.12947,-0.12947,0.50368,-0.50368
2.9,2.8,3.0,2.6697,0.10362,-0.10362,0.32449,-0.32449
3.1,3.0,3.2,1.8611,0.0705,-0.0705,0.23183,-0.23183
3.3,3.2,3.4,1.2607,0.079407,-0.079407,0.16084,-0.16084
3.5,3.4,3.6,0.94753,0.066144,-0.066144,0.12091,-0.12091
3.7,3.6,3.8,0.72849,0.054147,-0.054147,0.21276,-0.21276
3.9,3.8,4.0,0.46727,0.045869,-0.045869,0.11188,-0.11188
4.25,4.0,4.5,0.24301,0.03002,-0.03002,0.024301,-0.024301
4.75,4.5,5.0,0.16285,0.02631,-0.02631,0.016285,-0.016285

