#: table_doi: 10.17182/hepdata.110161.v1/t25
#: name: Table 25
#: description: $p_{T}$-distributions of pions ($\pi^{+}+\pi^{-}$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 70-90%.
#: data_file: table_25.yaml
#: keyword observables: DN/DPT
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> PI+ X | XE XE --> PI- X
#: CENTRALITY [pct],,,70.0-90.0
#: RE,,,XE XE --> PI+ X, XE XE --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -
0.065,0.05,0.08,28.569,0.35224,-0.35224,3.1825,-3.1825
0.09,0.08,0.1,34.666,0.17979,-0.17979,3.633,-3.633
0.13,0.1,0.16,38.829,0.070344,-0.070344,1.6227,-1.6227
0.18,0.16,0.2,39.876,0.081251,-0.081251,2.048,-2.048
0.225,0.2,0.25,37.331,0.082019,-0.082019,2.5182,-2.5182
0.275,0.25,0.3,33.352,0.07539,-0.07539,2.3985,-2.3985
0.32499999999999996,0.3,0.35,29.885,0.15275,-0.15275,1.9678,-1.9678
0.375,0.35,0.4,26.356,0.1428,-0.1428,1.6642,-1.6642
0.42500000000000004,0.4,0.45,23.166,0.13887,-0.13887,1.473,-1.473
0.475,0.45,0.5,19.792,0.14555,-0.14555,0.79419,-0.79419
0.525,0.5,0.55,16.936,0.11527,-0.11527,0.93522,-0.93522
0.575,0.55,0.6,14.421,0.12347,-0.12347,0.83249,-0.83249
0.625,0.6,0.65,12.623,0.13265,-0.13265,0.77539,-0.77539
0.675,0.65,0.7,11.102,0.13063,-0.13063,0.40793,-0.40793
0.725,0.7,0.75,9.7002,0.12652,-0.12652,0.85203,-0.85203
0.775,0.75,0.8,8.5093,0.13216,-0.13216,0.44595,-0.44595
0.825,0.8,0.85,7.5079,0.13432,-0.13432,0.41123,-0.41123
0.875,0.85,0.9,6.5565,0.13058,-0.13058,0.51986,-0.51986
0.925,0.9,0.95,5.6973,0.1332,-0.1332,0.39301,-0.39301
0.975,0.95,1.0,4.931,0.067245,-0.067245,0.28151,-0.28151
1.05,1.0,1.1,4.0729,0.043354,-0.043354,0.24068,-0.24068
1.15,1.1,1.2,3.1604,0.037921,-0.037921,0.18709,-0.18709
1.25,1.2,1.3,2.477,0.033509,-0.033509,0.14415,-0.14415
1.35,1.3,1.4,1.9874,0.030588,-0.030588,0.11446,-0.11446
1.45,1.4,1.5,1.5744,0.026521,-0.026521,0.090191,-0.090191
1.55,1.5,1.6,1.2125,0.022132,-0.022132,0.072031,-0.072031
1.65,1.6,1.7,1.0164,0.020901,-0.020901,0.068294,-0.068294
1.75,1.7,1.8,0.83783,0.018641,-0.018641,0.065891,-0.065891
1.85,1.8,1.9,0.66455,0.016099,-0.016099,0.06177,-0.06177
1.95,1.9,2.0,0.53394,0.014156,-0.014156,0.057531,-0.057531
2.1,2.0,2.2,0.40695,0.0083154,-0.0083154,0.047391,-0.047391
2.3,2.2,2.4,0.28333,0.0066837,-0.0066837,0.032166,-0.032166
2.5,2.4,2.6,0.19972,0.0054021,-0.0054021,0.02098,-0.02098
2.7,2.6,2.8,0.13806,0.0042652,-0.0042652,0.013852,-0.013852
2.9,2.8,3.0,0.093421,0.0031773,-0.0031773,0.00955,-0.00955
3.1,3.0,3.2,0.077027,0.003177,-0.003177,0.0082246,-0.0082246
3.3,3.2,3.4,0.054881,0.0025927,-0.0025927,0.0060141,-0.0060141
3.5,3.4,3.6,0.046165,0.0024966,-0.0024966,0.0059217,-0.0059217
3.7,3.6,3.8,0.03464,0.002104,-0.002104,0.004913,-0.004913
3.9,3.8,4.0,0.02501,0.0017754,-0.0017754,0.0042823,-0.0042823
4.25,4.0,4.5,0.017301,0.0010082,-0.0010082,0.0033442,-0.0033442
4.75,4.5,5.0,0.0094213,0.00077303,-0.00077303,0.0020641,-0.0020641

