#: table_doi: 10.17182/hepdata.110161.v1/t29
#: name: Table 29
#: description: $p_{T}$-distributions of phi ($\phi$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 10-30%.
#: data_file: table_29.yaml
#: keyword observables: DN/DPT
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> PHI X
#: CENTRALITY [pct],,,10.0-30.0
#: RE,,,XE XE --> PHI X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -
0.6,0.5,0.7,3.2196,0.39702,-0.39702,0.40318,-0.40318
0.8,0.7,0.9,2.9337,0.21626,-0.21626,0.29297,-0.29297
1.0,0.9,1.1,3.0862,0.15457,-0.15457,0.31351,-0.31351
1.2000000000000002,1.1,1.3,2.8147,0.14416,-0.14416,0.28553,-0.28553
1.4,1.3,1.5,2.3916,0.13324,-0.13324,0.24655,-0.24655
1.75,1.5,2.0,1.8943,0.09001,-0.09001,0.233,-0.233
2.5,2.0,3.0,0.76422,0.036512,-0.036512,0.094064,-0.094064
3.5,3.0,4.0,0.1718,0.011085,-0.011085,0.02769,-0.02769
4.5,4.0,5.0,0.037578,0.0034929,-0.0034929,0.0059626,-0.0059626
6.0,5.0,7.0,0.0084373,0.00084442,-0.00084442,0.0012835,-0.0012835
8.5,7.0,10.0,0.0017906,0.00028323,-0.00028323,0.00038626,-0.00038626

