#: table_doi: 10.17182/hepdata.110161.v1/t38
#: name: Table 38
#: description: $p_{T}$-distributions of protons ($p+pbar$)/pions ($\pi^{+}+\pi^{-}$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 10-20%.
#: data_file: table_38.yaml
#: keyword observables: RATIO
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> P X | XE XE --> PBAR X | XE XE --> PI+ X | XE XE --> PI- X
#: CENTRALITY [pct],,,10.0-20.0
#: RE(P + PBAR),,,XE XE --> P X, XE XE --> PBAR X
#: RE(PI+ + PI-),,,XE XE --> PI+ X, XE XE --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,$(p+pbar)/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -
0.32499999999999996,0.3,0.35,0.0092584,0.00014006,-0.00014006,0.0021856,-0.0021856
0.375,0.35,0.4,0.011816,0.00014881,-0.00014881,0.0022545,-0.0022545
0.42500000000000004,0.4,0.45,0.0171,0.00019301,-0.00019301,0.0030108,-0.0030108
0.475,0.45,0.5,0.02187,0.00021291,-0.00021291,0.003708,-0.003708
0.525,0.5,0.55,0.027545,0.00024832,-0.00024832,0.0044351,-0.0044351
0.575,0.55,0.6,0.025649,0.00023645,-0.00023645,0.0030323,-0.0030323
0.625,0.6,0.65,0.029789,0.00023372,-0.00023372,0.0042607,-0.0042607
0.675,0.65,0.7,0.034854,0.00031496,-0.00031496,0.0058919,-0.0058919
0.725,0.7,0.75,0.040867,0.0003893,-0.0003893,0.0070503,-0.0070503
0.775,0.75,0.8,0.046117,0.00049738,-0.00049738,0.0068611,-0.0068611
0.825,0.8,0.85,0.053353,0.00058548,-0.00058548,0.0071275,-0.0071275
0.875,0.85,0.9,0.060955,0.00068627,-0.00068627,0.0082468,-0.0082468
0.925,0.9,0.95,0.070166,0.00083379,-0.00083379,0.0096101,-0.0096101
0.975,0.95,1.0,0.080024,0.00088115,-0.00088115,0.01021,-0.01021
1.05,1.0,1.1,0.097176,0.00079753,-0.00079753,0.011606,-0.011606
1.15,1.1,1.2,0.1234,0.00107,-0.00107,0.013065,-0.013065
1.25,1.2,1.3,0.15303,0.0014283,-0.0014283,0.014357,-0.014357
1.35,1.3,1.4,0.18943,0.0019124,-0.0019124,0.016428,-0.016428
1.45,1.4,1.5,0.21711,0.002301,-0.002301,0.019015,-0.019015
1.55,1.5,1.6,0.25009,0.0027861,-0.0027861,0.023315,-0.023315
1.65,1.6,1.7,0.2879,0.0034805,-0.0034805,0.027196,-0.027196
1.75,1.7,1.8,0.33106,0.0042336,-0.0042336,0.031537,-0.031537
1.85,1.8,1.9,0.36985,0.0050061,-0.0050061,0.038435,-0.038435
1.95,1.9,2.0,0.40877,0.0059483,-0.0059483,0.048549,-0.048549
2.1,2.0,2.2,0.45775,0.005118,-0.005118,0.058237,-0.058237
2.3,2.2,2.4,0.51328,0.0064452,-0.0064452,0.066673,-0.066673
2.5,2.4,2.6,0.56546,0.0080149,-0.0080149,0.078348,-0.078348
2.7,2.6,2.8,0.60042,0.009714,-0.009714,0.089196,-0.089196
2.9,2.8,3.0,0.62371,0.011257,-0.011257,0.086263,-0.086263
3.1,3.0,3.2,0.64341,0.013129,-0.013129,0.080128,-0.080128
3.3,3.2,3.4,0.64889,0.015266,-0.015266,0.078337,-0.078337
3.5,3.4,3.6,0.59899,0.015685,-0.015685,0.082891,-0.082891
3.7,3.6,3.8,0.59473,0.0176,-0.0176,0.090933,-0.090933
3.9,3.8,4.0,0.59791,0.020698,-0.020698,0.1103,-0.1103
4.25,4.0,4.5,0.411,0.011167,-0.011167,0.084743,-0.084743
4.75,4.5,5.0,0.39134,0.014904,-0.014904,0.09506,-0.09506

