#: table_doi: 10.17182/hepdata.110161.v1/t49
#: name: Table 49
#: description: $p_{T}$-distributions of kaons ($K^{+}+K^{-}$)/pions ($\pi^{+}+\pi^{-}$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 70-90%.
#: data_file: table_49.yaml
#: keyword observables: RATIO
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> K+ X | XE XE --> K- X | XE XE --> PI+ X | XE XE --> PI- X
#: CENTRALITY [pct],,,70.0-90.0
#: RE(K+ + K-),,,XE XE --> K+ X, XE XE --> K- X
#: RE(PI+ + PI-),,,XE XE --> PI+ X, XE XE --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,$(K^{+}+K^{-})/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -
0.225,0.2,0.25,0.07152,0.00088971,-0.00088971,0.0075862,-0.0075862
0.275,0.25,0.3,0.091123,0.0018831,-0.0018831,0.0071927,-0.0071927
0.32499999999999996,0.3,0.35,0.1007,0.0011768,-0.0011768,0.0094552,-0.0094552
0.375,0.35,0.4,0.11552,0.0013627,-0.0013627,0.01017,-0.01017
0.42500000000000004,0.4,0.45,0.13159,0.0015966,-0.0015966,0.011857,-0.011857
0.475,0.45,0.5,0.15458,0.0034719,-0.0034719,0.019894,-0.019894
0.525,0.5,0.55,0.17285,0.0039459,-0.0039459,0.019528,-0.019528
0.575,0.55,0.6,0.19497,0.0046877,-0.0046877,0.02499,-0.02499
0.625,0.6,0.65,0.20875,0.0053957,-0.0053957,0.023318,-0.023318
0.675,0.65,0.7,0.21374,0.0060572,-0.0060572,0.02147,-0.02147
0.725,0.7,0.75,0.23519,0.0073452,-0.0073452,0.027322,-0.027322
0.775,0.75,0.8,0.24524,0.0082804,-0.0082804,0.021921,-0.021921
0.825,0.8,0.85,0.24798,0.008937,-0.008937,0.024462,-0.024462
0.875,0.85,0.9,0.27152,0.010292,-0.010292,0.031917,-0.031917
0.925,0.9,0.95,0.27672,0.011366,-0.011366,0.034206,-0.034206
0.975,0.95,1.0,0.28777,0.011123,-0.011123,0.030338,-0.030338
1.05,1.0,1.1,0.29674,0.0089023,-0.0089023,0.030631,-0.030631
1.15,1.1,1.2,0.31659,0.010454,-0.010454,0.035714,-0.035714
1.25,1.2,1.3,0.32641,0.01219,-0.01219,0.02865,-0.02865
1.35,1.3,1.4,0.33993,0.014062,-0.014062,0.037595,-0.037595
1.45,1.4,1.5,0.35901,0.016968,-0.016968,0.033403,-0.033403
1.55,1.5,1.6,0.38373,0.018989,-0.018989,0.041338,-0.041338
1.65,1.6,1.7,0.36067,0.019981,-0.019981,0.034349,-0.034349
1.75,1.7,1.8,0.40554,0.026076,-0.026076,0.055493,-0.055493
1.85,1.8,1.9,0.40527,0.028508,-0.028508,0.055974,-0.055974
1.95,1.9,2.0,0.38994,0.034539,-0.034539,0.056149,-0.056149
2.1,2.0,2.2,0.42082,0.026716,-0.026716,0.057176,-0.057176
2.3,2.2,2.4,0.37269,0.03161,-0.03161,0.060702,-0.060702
2.5,2.4,2.6,0.39275,0.037737,-0.037737,0.06781,-0.06781
2.7,2.6,2.8,0.47814,0.061477,-0.061477,0.11781,-0.11781
2.9,2.8,3.0,0.5187,0.079894,-0.079894,0.10129,-0.10129
3.1,3.0,3.2,0.33826,0.062584,-0.062584,0.04889,-0.04889
3.3,3.2,3.4,0.40599,0.098966,-0.098966,0.078818,-0.078818
3.5,3.4,3.6,0.44651,0.10875,-0.10875,0.10858,-0.10858
3.7,3.6,3.8,0.44639,0.1277,-0.1277,0.077652,-0.077652
3.9,3.8,4.0,0.5445,0.1914,-0.1914,0.16482,-0.16482
4.25,4.0,4.5,0.42598,0.15146,-0.15146,0.092705,-0.092705

