#: table_doi: 10.17182/hepdata.110161.v1/t53
#: name: Table 53
#: description: $p_{T}$-distributions of phi ($\phi$)/protons ($p+pbar$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 30-50%.
#: data_file: table_53.yaml
#: keyword observables: RATIO
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> PHI X | XE XE --> P X | XE XE --> PBAR X
#: CENTRALITY [pct],,,30.0-50.0
#: RE(PHI),,,XE XE --> PHI X
#: RE(P + PBAR),,,XE XE --> P X, XE XE --> PBAR X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,$phi/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -
0.6,0.5,0.7,4.1774,0.67597,-0.67597,0.36217,-0.36217
0.8,0.7,0.9,4.6325,0.34622,-0.34622,0.39659,-0.39659
1.0,0.9,1.1,4.0529,0.20521,-0.20521,0.45276,-0.45276
1.2000000000000002,1.1,1.3,4.3647,0.22379,-0.22379,0.48663,-0.48663
1.4,1.3,1.5,4.5613,0.26528,-0.26528,0.51419,-0.51419
1.75,1.5,2.0,4.4541,0.23184,-0.23184,0.66509,-0.66509
2.5,2.0,3.0,3.7171,0.17565,-0.17565,0.55288,-0.55288
3.5,3.0,4.0,2.9878,0.18235,-0.18235,0.49357,-0.49357
4.5,4.0,5.0,2.0031,0.15527,-0.15527,0.3259,-0.3259

