#: table_doi: 10.17182/hepdata.110161.v1/t57
#: name: Table 57
#: description: Integrated yield ratios of protons ($p+pbar$) to pions ($\pi^{+}+\pi^{-}$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV.
#: data_file: table_57.yaml
#: keyword observables: DN/DPT
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> CHARGED X | XE XE --> P X | XE XE --> PBAR X | XE XE --> PI+ X | XE XE --> PI- X
#: RE(P + PBAR),XE XE --> P X, XE XE --> PBAR X
#: RE(PI+ + PI-),XE XE --> PI+ X, XE XE --> PI- X
#: RE,XE XE --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],5440.0
#: YRAP,-0.5-0.5
Cent [ptc.],$(p+pbar)/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -
0.0-5.0,0.046089,0.00010304,-0.00010304,0.0054006,-0.0054006
5.0-10.0,0.046725,0.00012996,-0.00012996,0.0054788,-0.0054788
10.0-20.0,0.047164,0.00010711,-0.00010711,0.0055326,-0.0055326
20.0-30.0,0.048605,0.00013502,-0.00013502,0.0057318,-0.0057318
30.0-40.0,0.049821,0.00015767,-0.00015767,0.005898,-0.005898
40.0-50.0,0.051313,0.00020064,-0.00020064,0.006153,-0.006153
50.0-60.0,0.052406,0.00026332,-0.00026332,0.0062815,-0.0062815
60.0-70.0,0.053239,0.0003275,-0.0003275,0.0067375,-0.0067375
70.0-90.0,0.054412,0.00039576,-0.00039576,0.0074074,-0.0074074

